Family,Gender,Kids,Father(cm),mother(cm),Height(cm)
1,M,2,170,156,179
1,F,2,170,156,158
2,M,2,170,171,180
2,F,2,170,171,173
3,F,1,180,165,169
4,M,2,174,158,173
4,F,2,174,158,168
5,M,2,178,165,190
5,M,2,178,165,187
6,M,2,178,159,188
6,M,2,178,159,178
7,M,2,171,156,172
7,M,2,171,156,172
8,M,2,165,155,173
8,F,2,165,155,160
9,M,2,175,156,167
9,M,2,175,156,172
10,M,2,169,165,172
10,F,2,169,165,159
11,M,3,171,161,169
11,M,3,171,161,178
11,F,3,171,161,164
12,F,2,183,163,164
12,F,2,183,163,170
13,M,2,157,163,178
13,F,2,157,163,155
14,M,1,165,157,168
15,M,2,175,158,178
15,M,2,175,158,183
16,M,1,178,170,183
17,M,2,176,157,179
17,M,2,176,157,173
18,M,2,172,153,176
18,F,2,172,153,156
19,M,2,182,152,172
19,F,2,182,152,162
20,M,3,180,162,177
20,F,3,180,162,163
20,M,3,180,162,175
21,M,1,175,165,179
22,M,2,170,161,167
22,M,2,170,161,169
