Family,Father,Mother,Gender,Height,Kids,Father(cm),mother(cm),Height(cm)
1,64.2 ,61.8 ,M,66.0 ,1,163,157,167.7
2,67.3 ,61.4 ,M,71.7 ,2,171,156,182.1
2,67.3 ,61.4 ,F,65.4 ,2,171,156,166
3,68.1 ,65.7 ,F,62.1 ,2,173,167,157.7
3,68.1 ,65.7 ,F,65.0 ,2,173,167,165
4,68.9 ,62.2 ,F,65.7 ,2,175,158,167
4,68.9 ,62.2 ,F,65.4 ,2,175,158,166
5,72.0 ,61.4 ,F,66.9 ,3,183,156,170
5,72.0 ,61.4 ,M,70.9 ,3,183,156,180
5,72.0 ,61.4 ,F,65.0 ,3,183,156,165
6,70.5 ,62.5 ,F,64.0 ,3,179.1,158.7,162.6
6,70.5 ,62.5 ,M,71.5 ,3,179.1,158.7,181.5
6,70.5 ,62.5 ,M,70.9 ,3,179.1,158.7,180.1
7,69.3 ,63.0 ,F,63.4 ,2,176,160,161
7,69.3 ,63.0 ,M,70.1 ,2,176,160,178
8,65.7 ,63.4 ,M,68.7 ,2,167,161,174.4
8,65.7 ,63.4 ,F,63.8 ,2,167,161,162
9,68.5 ,63.0 ,M,68.7 ,2,174,160,174.5
9,68.5 ,63.0 ,F,66.3 ,2,174,160,168.3
10,65.7 ,63.8 ,F,64.6 ,2,167,162,164
10,65.7 ,63.8 ,F,62.6 ,2,167,162,159
11,70.1 ,62.2 ,F,66.0 ,2,178,158,167.6
11,70.1 ,62.2 ,F,65.7 ,2,178,158,167
12,66.9 ,66.1 ,F,65.1 ,2,170,168,165.3
12,66.9 ,66.1 ,F,61.8 ,2,170,168,157
13,68.5 ,63.0 ,F,66.9 ,2,174,160,169.9
13,68.5 ,63.0 ,F,63.0 ,2,174,160,160
14,70.1 ,62.2 ,M,72.0 ,2,178,158,183
14,70.1 ,62.2 ,M,70.5 ,2,178,158,179
15,64.2 ,65.7 ,F,61.0 ,2,163,167,155
15,64.2 ,65.7 ,M,70.9 ,2,163,167,180
16,68.5 ,63.0 ,F,62.6 ,1,174,160,159
17,66.9 ,62.6 ,M,69.3 ,2,170,159,176
17,66.9 ,62.6 ,F,63.0 ,2,170,159,160
18,67.3 ,63.8 ,F,63.8 ,2,171,162,162
18,67.3 ,63.8 ,F,62.2 ,2,171,162,158
19,68.5 ,63.0 ,F,60.6 ,2,174,160,154
19,68.5 ,63.0 ,M,68.1 ,2,174,160,173
20,72.0 ,65.0 ,F,68.1 ,1,183,165,173
21,66.9 ,57.9 ,F,59.1 ,1,170,147,150
22,68.1 ,64.2 ,F,62.1 ,3,173,163,157.8
22,68.1 ,64.2 ,F,63.8 ,3,173,163,162
22,68.1 ,64.2 ,F,63.3 ,3,173,163,160.8
23,67.8 ,63.0 ,M,71.5 ,2,172.3,160,181.7
23,67.8 ,63.0 ,M,68.2 ,2,172.3,160,173.3
24,65.7 ,66.1 ,M,69.6 ,2,167,168,176.7
24,65.7 ,66.1 ,F,64.2 ,2,167,168,163
